"cuenta";"descripcion";"cuentaesp"
"5141";"COSTOS DIRECTOS DE SERVICIOS";""
"515";"AJUSTES DE INVENTARIOS Y COSTOS";""
"5151";"DETERIORO Y VALOR NETO REALIZABLE";""
"52";"GASTOS NO OPERACIONALES";""
"521";"GASTOS FINANCIEROS";""
"5211";"INTERESES, COMISIONES Y OTROS GASTOS FINANCIEROS";""
"522";"PÉRDIDAS Y OTROS GASTOS";""
"5221";"PÉRDIDAS EN VENTA Y MEDICIÓN DE ACTIVOS";""
"523";"DETERIOROS Y PROVISIONES";""
"5231";"PÉRDIDAS POR DETERIORO";""
"524";"OTROS GASTOS NO OPERACIONALES";""
"5241";"OTROS GASTOS";""
"53";"PARTICIPACIÓN LABORAL E IMPUESTOS";""
"531";"PARTICIPACIÓN DE TRABAJADORES";""
"5311";"PARTICIPACIÓN DE TRABAJADORES DEL EJERCICIO";""
"532";"IMPUESTO A LA RENTA";""
"5321";"IMPUESTO A LA RENTA CORRIENTE";""
"533";"IMPUESTO A LA RENTA DIFERIDO";""
"5331";"GASTO O INGRESO POR IMPUESTO DIFERIDO";""
"54";"OPERACIONES DISCONTINUADAS - GASTOS";""
"541";"GASTOS DE OPERACIONES DISCONTINUADAS";""
"5411";"GASTOS DE OPERACIONES DISCONTINUADAS";""
"6";"CUENTAS DE ORDEN DEUDORAS";""
"61";"CUENTAS DE ORDEN DEUDORAS";""
"611";"DERECHOS CONTINGENTES Y BIENES DE TERCEROS";""
"6111";"CUENTAS DE ORDEN DEUDORAS";""
"7";"CUENTAS DE ORDEN ACREEDORAS";""
"71";"CUENTAS DE ORDEN ACREEDORAS";""
"711";"RESPONSABILIDADES CONTINGENTES Y CONTRACUENTAS";""
"7111";"CUENTAS DE ORDEN ACREEDORAS";""
"111101";"Caja general";"CAJA"
"111102";"Caja chica";""
"111103";"Fondo rotativo";""
"111104";"Valores por depositar";""
"111201";"Banco - cuenta corriente principal";""
"111202";"Banco - cuenta de ahorros principal";""
"111203";"Bancos - otras cuentas";""
"111204";"Fondos en tránsito";""
"111301";"Inversiones temporales a valor razonable";""
"111302";"Depósitos e inversiones a corto plazo";""
"111399";"(-) Deterioro de inversiones de corto plazo";""
"112101";"Clientes nacionales - cuenta colectiva";"CLIENT"
"112102";"Clientes del exterior";""
"112103";"Clientes relacionados";""
"112104";"Documentos por cobrar a clientes";""
"112105";"Intereses por cobrar a clientes";""
"112199";"(-) Deterioro acumulado de cuentas por cobrar a clientes";""
"112201";"Préstamos y anticipos a empleados";""
"112202";"Préstamos a socios o accionistas";""
"112203";"Documentos por cobrar no comerciales";""
"112204";"Reclamos a aseguradoras";""
"112205";"Cuentas por cobrar a administradores";""
"112299";"Otras cuentas por cobrar";""
"112301";"IVA pagado - crédito tributario";"IVASOP"
"112302";"Retenciones de IVA recibidas";"RETIVV"
"112303";"Saldo a favor de IVA";""
"112304";"IVA pagado en importaciones";""
"112305";"IVA por recuperar";""
"112401";"Crédito tributario de impuesto a la renta - años anteriores";""
"112402";"Saldo a favor de impuesto a la renta - años anteriores";""
"112501";"Retenciones en la fuente de impuesto a la renta recibidas";"RETRNV"
"112502";"Anticipo de impuesto a la renta";""
"112503";"Crédito tributario de impuesto a la renta - año corriente";""
"112601";"Cuentas por cobrar relacionadas locales";""
"112602";"Cuentas por cobrar relacionadas del exterior";""
"112699";"(-) Deterioro de cuentas por cobrar relacionadas";""
"113101";"Mercaderías compradas a terceros";"INV"
"113102";"Mercaderías producidas por la entidad";""
"113103";"Inventario gravado con tarifa general de IVA";""
"113104";"Inventario gravado con tarifa 0% de IVA";""
"113105";"Inventario de importaciones";""
"113199";"(-) Deterioro de inventarios para la venta";""
"113201";"Inventario de materias primas";""
"113202";"Inventario de suministros y materiales";""
"113203";"Inventario de repuestos, herramientas y accesorios";""
"113299";"(-) Deterioro de materias primas y suministros";""
"113301";"Inventario de productos en proceso";""
"113302";"Inventario de servicios en proceso";""
"113399";"(-) Deterioro de productos en proceso";""
"113401";"Inventario de productos terminados";""
"113499";"(-) Deterioro de productos terminados";""
"113501";"Mercaderías en tránsito - compras locales";""
"113502";"Mercaderías en tránsito - importaciones";""
"113601";"Obras en construcción";""
"113602";"Obras terminadas";""
"113603";"Materiales o bienes para construcción";""
"113701";"Animales vivos en crecimiento";""
"113702";"Animales vivos en producción";""
"113703";"Plantas en crecimiento";""
"113704";"Plantas en producción";""
"113799";"(-) Deterioro de activos biológicos corrientes";""
"114101";"Seguros pagados por anticipado";""
"114102";"Arriendos pagados por anticipado";""
"114103";"Publicidad pagada por anticipado";""
"114104";"Licencias y suscripciones pagadas por anticipado";""
"114105";"Servicios pagados por anticipado";""
"114199";"Otros pagos anticipados";""
"114201";"Anticipos entregados a proveedores";"ANTPRO"
"114202";"Anticipos entregados a contratistas";""
"114203";"Anticipos para importaciones";""
"114301";"Depósitos entregados en garantía - corto plazo";""
"114302";"Otros activos corrientes";""
"115101";"Propiedades, planta y equipo mantenidos para la venta";""
"115102";"Activos de operaciones discontinuadas";""
"121101";"Terrenos";""
"121201";"Construcciones en curso";""
"121202";"Anticipos para propiedades, planta y equipo";""
"122101";"Edificios - costo";""
"122102";"(-) Depreciación acumulada de edificios";""
"122103";"(-) Deterioro acumulado de edificios";""
"122201";"Muebles y enseres - costo";""
"122202";"(-) Depreciación acumulada de muebles y enseres";""
"122203";"(-) Deterioro acumulado de muebles y enseres";""
"122301";"Equipo de oficina - costo";""
"122302";"(-) Depreciación acumulada de equipo de oficina";""
"122303";"(-) Deterioro acumulado de equipo de oficina";""
"122401";"Equipo de computación - costo";""
"122402";"(-) Depreciación acumulada de equipo de computación";""
"122403";"(-) Deterioro acumulado de equipo de computación";""
"122501";"Vehículos y equipo de transporte - costo";""
"122502";"(-) Depreciación acumulada de vehículos y transporte";""
"122503";"(-) Deterioro acumulado de vehículos y transporte";""
"122601";"Maquinaria y equipo - costo";""
"122602";"(-) Depreciación acumulada de maquinaria y equipo";""
"122603";"(-) Deterioro acumulado de maquinaria y equipo";""
"122701";"Instalaciones - costo";""
"122702";"(-) Depreciación acumulada de instalaciones";""
"122703";"(-) Deterioro acumulado de instalaciones";""
"122801";"Repuestos, herramientas y accesorios - costo";""
"122802";"(-) Depreciación acumulada de herramientas y accesorios";""
"122803";"(-) Deterioro acumulado de herramientas y accesorios";""
"122901";"Otras propiedades, planta y equipo - costo";""
"122902";"(-) Depreciación acumulada de otras propiedades, planta y equipo";""
"122903";"(-) Deterioro acumulado de otras propiedades, planta y equipo";""
"123101";"Plusvalía mercantil";""
"123102";"Marcas y patentes";""
"123103";"Derechos de llave y licencias";""
"123104";"Derechos de autor y software";""
"123105";"Otros activos intangibles";""
"123198";"(-) Amortización acumulada de activos intangibles";""
"123199";"(-) Deterioro acumulado de activos intangibles";""
"124101";"Terrenos mantenidos como propiedad de inversión";""
"124102";"Edificios mantenidos como propiedad de inversión";""
"124198";"(-) Depreciación acumulada de propiedades de inversión";""
"124199";"(-) Deterioro acumulado de propiedades de inversión";""
"125101";"Animales vivos no corrientes";""
"125102";"Plantas productoras";""
"125198";"(-) Depreciación acumulada de activos biológicos";""
"125199";"(-) Deterioro acumulado de activos biológicos";""
"126101";"Derecho de uso de inmuebles";""
"126102";"Derecho de uso de vehículos";""
"126103";"Derecho de uso de otros activos";""
"126198";"(-) Depreciación acumulada de activos por derecho de uso";""
"126199";"(-) Deterioro acumulado de activos por derecho de uso";""
"127101";"Inversiones en subsidiarias";""
"127102";"Inversiones en asociadas";""
"127103";"Inversiones en negocios conjuntos";""
"127104";"Inversiones financieras de largo plazo";""
"127105";"Cuentas por cobrar no corrientes";""
"127106";"Depósitos entregados en garantía - largo plazo";""
"127199";"(-) Deterioro de activos financieros no corrientes";""
"128101";"Activo por impuesto a la renta diferido";""
"129101";"Otros activos no corrientes";""
"129199";"(-) Deterioro de otros activos no corrientes";""
"211101";"Proveedores locales de bienes";"PROVEE"
"211102";"Proveedores locales de servicios";""
"211103";"Proveedores locales de activos no corrientes";""
"211104";"Documentos por pagar a proveedores locales";""
"211201";"Proveedores del exterior de bienes";""
"211202";"Proveedores del exterior de servicios";""
"211203";"Proveedores del exterior de activos no corrientes";""
"211204";"Documentos por pagar a proveedores del exterior";""
"211301";"Proveedores relacionados locales";""
"211302";"Proveedores relacionados del exterior";""
"212101";"Retenciones IR por pagar - relación de dependencia";""
"212102";"Retenciones IR por pagar - honorarios profesionales";""
"212103";"Retenciones IR por pagar - servicios profesionales";""
"212104";"Retenciones IR por pagar - otros servicios";""
"212105";"Retenciones IR por pagar - compras de bienes";""
"212106";"Retenciones IR por pagar - arrendamientos";""
"212107";"Retenciones IR por pagar - publicidad";""
"212108";"Retenciones IR por pagar - transporte";""
"212109";"Retenciones IR por pagar - seguros y reaseguros";""
"212110";"Retenciones IR por pagar - rendimientos financieros";""
"212111";"Retenciones IR por pagar - dividendos";""
"212112";"Retenciones IR por pagar - pagos al exterior";""
"212113";"Retenciones IR por pagar - regalías y derechos";""
"212114";"Retenciones IR por pagar - loterías y premios";""
"212115";"Retenciones IR por pagar - construcción";""
